State,Year,Murder Rate,Robbery Rate
 Alabama,1960,          12.4,          27.5
 Alabama,1961,          12.9,          19.1
 Alabama,1962,           9.4,          22.5
 Alabama,1963,          10.2,          24.7
 Alabama,1964,           9.3,          29.1
 Alabama,1965,          11.4,          28.7
 Alabama,1966,          10.9,          32.0
 Alabama,1967,          11.7,          33.0
 Alabama,1968,          11.8,          41.0
 Alabama,1969,          13.7,          41.0
 Alabama,1970,          11.7,          50.3
 Alabama,1971,          15.1,          57.6
 Alabama,1972,          14.1,          68.6
 Alabama,1973,          13.2,          79.4
 Alabama,1974,          15.0,          99.6
 Alabama,1975,          16.0,         123.0
 Alabama,1976,          15.1,          96.0
 Alabama,1977,          14.2,          96.8
 Alabama,1978,          13.3,          99.1
 Alabama,1979,          13.2,         109.5
 Alabama,1980,          13.2,         132.1
 Alabama,1981,          11.9,         126.5
 Alabama,1982,          10.6,         112.0
 Alabama,1983,           9.2,          98.4
 Alabama,1984,           9.4,          96.1
 Alabama,1985,           9.8,         105.4
 Alabama,1986,          10.1,         111.6
 Alabama,1987,           9.3,         112.2
 Alabama,1988,           9.9,         117.8
 Alabama,1989,          10.2,         133.9
 Alabama,1990,          11.6,         143.7
 Alabama,1991,          11.5,         152.8
 Alabama,1992,          11.0,         164.9
 Alabama,1993,          11.6,         159.5
 Alabama,1994,          11.9,         171.2
 Alabama,1995,          11.2,         185.8
 Alabama,1996,          10.0,         167.0
 Alabama,1997,           9.9,         160.5
 Alabama,1998,           8.1,         130.9
 Alabama,1999,           7.9,         121.2
 Alabama,2000,           7.4,         128.2
 Alabama,2001,           8.5,         125.0
 Alabama,2002,           6.8,         133.1
 Alabama,2003,           6.6,         134.1
 Alabama,2004,           5.6,         133.5
 Alabama,2005,           8.2,         141.7
 Alabama,2006,           8.3,         153.6
 Alabama,2007,           8.9,         159.9
 Alabama,2008,           7.5,         157.6
 Alabama,2009,           6.8,         133.1
 Alabama,2010,           5.7,         101.6
 Alabama,2011,           6.2,         102.1
 Alabama,2012,           7.1,         104.1
 Alaska,1960,          10.2,          28.3
 Alaska,1961,          11.5,          12.4
 Alaska,1962,           4.5,          13.8
 Alaska,1963,           6.5,          22.2
 Alaska,1964,          10.4,          21.2
 Alaska,1965,           6.3,          39.9
 Alaska,1966,          12.9,          36.0
 Alaska,1967,           9.6,          35.3
 Alaska,1968,          10.5,          52.7
 Alaska,1969,          10.6,          67.4
 Alaska,1970,          12.2,          71.8
 Alaska,1971,          13.4,          67.1
 Alaska,1972,           9.5,          66.5
 Alaska,1973,          10.0,          67.0
 Alaska,1974,          13.6,          88.4
 Alaska,1975,          12.2,         129.5
 Alaska,1976,          11.3,         124.9
 Alaska,1977,          10.8,          96.8
 Alaska,1978,          12.9,          91.3
 Alaska,1979,          13.3,         109.6
 Alaska,1980,           8.9,          81.8
 Alaska,1981,          14.6,         114.6
 Alaska,1982,          18.5,         133.8
 Alaska,1983,          13.8,          97.1
